case_id,category,control,expected_disposition,scored_in_accuracy,required_evidence_grade,repository_path,route,source_location,sink_location,rule_id,reason_code
cwe-113-vulnerable,CWE-113,vulnerable,FINDING,true,RUNTIME_SEMANTIC,apps/net-http-product,/qualification/cwe-113/vulnerable,/qualification/cwe-113/vulnerable,http_response,IAST.HTTP_HEADER.INJECTION,
cwe-113-safe,CWE-113,safe,CLEAN,true,CLOSED_DENOMINATOR,apps/net-http-product,/qualification/cwe-113/safe,/qualification/cwe-113/safe,http_response,,
cwe-113-unknown,CWE-113,unknown,UNKNOWN,false,CAPABILITY_GAP,apps/net-http-product,/qualification/cwe-113/unknown,/qualification/cwe-113/unknown,http_response,,go_cwe_113_semantic_coordinate_unresolved
cwe-113-unsupported,CWE-113,unsupported,UNSUPPORTED,false,UNSUPPORTED_COORDINATE,controls/unqualified-coordinate,,controls/unqualified-coordinate,unqualified runtime or framework coordinate,,
cwe-116-vulnerable,CWE-116,vulnerable,FINDING,true,RUNTIME_SEMANTIC,apps/net-http-product,/qualification/cwe-116/vulnerable,/qualification/cwe-116/vulnerable,output_encoding,IAST.OUTPUT_ENCODING.INJECTION,
cwe-116-safe,CWE-116,safe,CLEAN,true,CLOSED_DENOMINATOR,apps/net-http-product,/qualification/cwe-116/safe,/qualification/cwe-116/safe,output_encoding,,
cwe-116-unknown,CWE-116,unknown,UNKNOWN,false,CAPABILITY_GAP,apps/net-http-product,/qualification/cwe-116/unknown,/qualification/cwe-116/unknown,output_encoding,,go_cwe_116_semantic_coordinate_unresolved
cwe-116-unsupported,CWE-116,unsupported,UNSUPPORTED,false,UNSUPPORTED_COORDINATE,controls/unqualified-coordinate,,controls/unqualified-coordinate,unqualified runtime or framework coordinate,,
cwe-1336-vulnerable,CWE-1336,vulnerable,FINDING,true,RUNTIME_SEMANTIC,apps/net-http-product,/qualification/cwe-1336/vulnerable,/qualification/cwe-1336/vulnerable,template,IAST.TEMPLATE.INJECTION,
cwe-1336-safe,CWE-1336,safe,CLEAN,true,CLOSED_DENOMINATOR,apps/net-http-product,/qualification/cwe-1336/safe,/qualification/cwe-1336/safe,template,,
cwe-1336-unknown,CWE-1336,unknown,UNKNOWN,false,CAPABILITY_GAP,apps/net-http-product,/qualification/cwe-1336/unknown,/qualification/cwe-1336/unknown,template,,go_cwe_1336_semantic_coordinate_unresolved
cwe-1336-unsupported,CWE-1336,unsupported,UNSUPPORTED,false,UNSUPPORTED_COORDINATE,controls/unqualified-coordinate,,controls/unqualified-coordinate,unqualified runtime or framework coordinate,,
cwe-200-vulnerable,CWE-200,vulnerable,FINDING,true,RUNTIME_VALUE_FLOW,apps/net-http-product,/qualification/cwe-200/vulnerable,/qualification/cwe-200/vulnerable,sensitive_data,IAST.SENSITIVE_DATA.RESPONSE_EXPOSURE,
cwe-200-safe,CWE-200,safe,CLEAN,true,CLOSED_DENOMINATOR,apps/net-http-product,/qualification/cwe-200/safe,/qualification/cwe-200/safe,sensitive_data,,
cwe-200-unknown,CWE-200,unknown,UNKNOWN,false,CAPABILITY_GAP,apps/net-http-product,/qualification/cwe-200/unknown,/qualification/cwe-200/unknown,sensitive_data,,go_cwe_200_semantic_coordinate_unresolved
cwe-200-unsupported,CWE-200,unsupported,UNSUPPORTED,false,UNSUPPORTED_COORDINATE,controls/unqualified-coordinate,,controls/unqualified-coordinate,unqualified runtime or framework coordinate,,
cwe-201-vulnerable,CWE-201,vulnerable,FINDING,true,RUNTIME_VALUE_FLOW,apps/net-http-product,/qualification/cwe-201/vulnerable,/qualification/cwe-201/vulnerable,sensitive_data,IAST.SENSITIVE_DATA.OUTBOUND_EXPOSURE,
cwe-201-safe,CWE-201,safe,CLEAN,true,CLOSED_DENOMINATOR,apps/net-http-product,/qualification/cwe-201/safe,/qualification/cwe-201/safe,sensitive_data,,
cwe-201-unknown,CWE-201,unknown,UNKNOWN,false,CAPABILITY_GAP,apps/net-http-product,/qualification/cwe-201/unknown,/qualification/cwe-201/unknown,sensitive_data,,go_cwe_201_semantic_coordinate_unresolved
cwe-201-unsupported,CWE-201,unsupported,UNSUPPORTED,false,UNSUPPORTED_COORDINATE,controls/unqualified-coordinate,,controls/unqualified-coordinate,unqualified runtime or framework coordinate,,
cwe-22-vulnerable,CWE-22,vulnerable,FINDING,true,RUNTIME_EFFECT,apps/net-http-product,/qualification/cwe-22/vulnerable,/qualification/cwe-22/vulnerable,filesystem,IAST.FILESYSTEM.INJECTION,
cwe-22-safe,CWE-22,safe,CLEAN,true,CLOSED_DENOMINATOR,apps/net-http-product,/qualification/cwe-22/safe,/qualification/cwe-22/safe,filesystem,,
cwe-22-unknown,CWE-22,unknown,UNKNOWN,false,CAPABILITY_GAP,apps/net-http-product,/qualification/cwe-22/unknown,/qualification/cwe-22/unknown,filesystem,,go_cwe_22_semantic_coordinate_unresolved
cwe-22-unsupported,CWE-22,unsupported,UNSUPPORTED,false,UNSUPPORTED_COORDINATE,controls/unqualified-coordinate,,controls/unqualified-coordinate,unqualified runtime or framework coordinate,,
cwe-284-vulnerable,CWE-284,vulnerable,FINDING,true,RUNTIME_DIFFERENTIAL,apps/net-http-product,,cwe-284-vulnerable,ACCESS_CONTROL,SIVERE.ACCESS_CONTROL.IMPROPER,
cwe-284-safe,CWE-284,safe,CLEAN,true,CLOSED_DENOMINATOR,apps/net-http-product,,cwe-284-safe,ACCESS_CONTROL,,
cwe-284-unknown,CWE-284,unknown,UNKNOWN,false,CAPABILITY_GAP,apps/net-http-product,,apps/net-http-product,ACCESS_CONTROL,,declared_access_policy_required
cwe-284-unsupported,CWE-284,unsupported,UNSUPPORTED,false,UNSUPPORTED_COORDINATE,controls/unqualified-coordinate,,controls/unqualified-coordinate,unqualified runtime or framework coordinate,,
cwe-287-vulnerable,CWE-287,vulnerable,FINDING,true,RUNTIME_DIFFERENTIAL,apps/net-http-product,,cwe-287-vulnerable,ACCESS_CONTROL,SIVERE.AUTHENTICATION.IMPROPER,
cwe-287-safe,CWE-287,safe,CLEAN,true,CLOSED_DENOMINATOR,apps/net-http-product,,cwe-287-safe,ACCESS_CONTROL,,
