category,tp,fp,fn,tn,tpr,fpr,passed
CWE-113,0,0,1,1,0.0000,0.0000,false
CWE-116,0,0,1,1,0.0000,0.0000,false
CWE-1336,0,0,1,1,0.0000,0.0000,false
CWE-200,0,0,1,1,0.0000,0.0000,false
CWE-201,0,0,1,1,0.0000,0.0000,false
CWE-22,0,0,1,1,0.0000,0.0000,false
CWE-284,0,0,1,1,0.0000,0.0000,false
CWE-287,0,0,1,1,0.0000,0.0000,false
CWE-306,0,0,1,1,0.0000,0.0000,false
CWE-328,0,0,1,1,0.0000,0.0000,false
CWE-330,0,0,1,1,0.0000,0.0000,false
CWE-352,0,0,1,1,0.0000,0.0000,false
CWE-362,0,0,1,1,0.0000,0.0000,false
CWE-400,0,0,1,1,0.0000,0.0000,false
CWE-501,0,0,1,1,0.0000,0.0000,false
CWE-502,0,0,1,1,0.0000,0.0000,false
CWE-532,0,0,1,1,0.0000,0.0000,false
CWE-601,0,0,1,1,0.0000,0.0000,false
CWE-611,0,0,1,1,0.0000,0.0000,false
CWE-614,0,0,1,1,0.0000,0.0000,false
CWE-639,0,0,1,1,0.0000,0.0000,false
CWE-643,0,0,1,1,0.0000,0.0000,false
CWE-776,0,0,1,1,0.0000,0.0000,false
CWE-78,0,0,1,1,0.0000,0.0000,false
CWE-79,1,0,0,1,1.0000,0.0000,true
CWE-840,0,0,1,1,0.0000,0.0000,false
CWE-841,0,0,1,1,0.0000,0.0000,false
CWE-862,0,0,1,1,0.0000,0.0000,false
CWE-863,0,0,1,1,0.0000,0.0000,false
CWE-89,1,0,0,1,1.0000,0.0000,true
CWE-90,0,0,1,1,0.0000,0.0000,false
CWE-918,0,0,1,1,0.0000,0.0000,false
CWE-94,0,0,1,1,0.0000,0.0000,false
CWE-943,0,0,1,1,0.0000,0.0000,false
GO-CGO-BOUNDARY,0,0,1,1,0.0000,0.0000,false
GO-GOROUTINE-LEAK,1,0,0,1,1.0000,0.0000,true
GO-HTTP-BODY-LIMIT,0,0,1,1,0.0000,0.0000,false
GO-MAP-CONCURRENT-ACCESS,0,0,1,1,0.0000,0.0000,false
GO-TEMPLATE-CONTEXT-CONFUSION,0,0,1,1,0.0000,0.0000,false
TOTAL,3,0,36,39,0.0769,0.0000,false
